210,2016-06-24 11:45:54,别闹 此处省略三个字,凡是玩玩就走人，这女的是动了真心的。最后却发现凡只是玩玩她而已所以就发生了之后这些乱七八糟的事情。
211,2016-06-24 11:45:54,别闹 此处省略三个字,凡是玩玩就走人，这女的是动了真心的。最后却发现凡只是玩玩她而已所以就发生了之后这些乱七八糟的事情。
212,2016-06-24 10:06:04,四叶草,心机婊
213,2016-06-24 09:49:09,转眼间的我们的30岁,现在的女人想出名，想钱啥事都干的出来
214,2016-06-24 09:41:21,上弦明月,只想说，有些前任真心伤不起！
215,2016-06-24 08:47:33,呵呵803,还以为是谢娜，感觉你家杰哥头顶绿油油的
216,2016-06-24 07:57:48,宝宝～～,其实不管是不是突然失踪还是正常分手，那些聊天记录都在，照片也在，音频也有，结果还是一样
217,2016-06-24 07:30:10,过眼云烟,人红是非多
218,2016-06-24 04:51:45,冰城宝宝,别说是明星了，谁还没有生理需求啊？难道有过亲密关系就得负责吗？如果说喜欢一个人就得娶了，那天下离婚的人就更多了！再说了，做明星有时候也是身不由己，你真以为自己是太阳呢？就算国家主席他也不能什么都由着自己来啊？傻啊？我不是谁的粉丝，只是觉得孩子啊！看开点！长点心吧！就算给人家名声搞臭了，你自己就能好过些吗？帅哥向来都只是看的，当老公还得找个踏实点的！
219,2016-06-24 02:38:06,彩云飞,傻diao
220,2016-06-24 02:18:50,i    名字咋可以打这莫长里,总结一下，所谓我们别太崇拜偶像，舞台只是赞美的他或她。背后做人说不定还不如咱们！
221,2016-06-24 11:45:54,别闹 此处省略三个字,凡是玩玩就走人，这女的是动了真心的。最后却发现凡只是玩玩她而已所以就发生了之后这些乱七八糟的事情。
222,2016-06-24 10:06:04,四叶草,心机婊
223,2016-06-24 09:49:09,转眼间的我们的30岁,现在的女人想出名，想钱啥事都干的出来
224,2016-06-24 09:41:21,上弦明月,只想说，有些前任真心伤不起！
225,2016-06-24 08:47:33,呵呵803,还以为是谢娜，感觉你家杰哥头顶绿油油的
226,2016-06-24 07:57:48,宝宝～～,其实不管是不是突然失踪还是正常分手，那些聊天记录都在，照片也在，音频也有，结果还是一样
227,2016-06-24 07:30:10,过眼云烟,人红是非多
